supplier_id,name,location,contact_phone,service_radius_km,avg_response_hours,specialization
SUP-001,Acme Lights & Co.,POINT (77.59058860239168 12.842472976710974),+91-80-69739537,10,3,All
SUP-002,BrightBeam Systems Demo,POINT (77.63686109492097 12.943093197584261),+91-80-97515230,10,8,Sodium Vapor
SUP-003,CloudGlow Innovations,POINT (77.62225351396876 13.020227996678758),+91-80-54124460,12,4,Sodium Vapor
SUP-004,DeltaLux Technologies,POINT (77.5974504530485 12.899710559455457),+91-80-31742418,5,5,LED
SUP-005,EchoLight Solutions Demo,POINT (77.57040621870388 12.83492972734019),+91-80-70333277,15,3,All
SUP-006,FusionBright Industries,POINT (77.64248991215233 12.934413553352337),+91-80-75111559,10,3,All
SUP-007,GammaWatt Distributors,POINT (77.53075871371051 13.049659000900789),+91-80-51469423,12,3,LED
SUP-008,HorizonLED Technologies,POINT (77.68858744733137 12.892757033944129),+91-80-70591948,10,3,Sodium Vapor
SUP-009,InfinityLight Demo Corp,POINT (77.5890662675106 13.016476077784088),+91-80-79206113,5,8,All
SUP-010,JetStream Illumination,POINT (77.61720433418978 12.948777717962477),+91-80-92904655,15,2,All
SUP-011,KryptoLux Systems,POINT (77.57953450969754 13.056464347414998),+91-80-45746019,10,3,Sodium Vapor
SUP-012,LumiFlex Technologies Demo,POINT (77.5763557035076 12.980095087062608),+91-80-23162870,5,3,LED
SUP-013,MegaBeam Industries,POINT (77.56631626384751 12.968977518214357),+91-80-70875334,5,2,All
SUP-014,NovaSpark Lighting Co.,POINT (77.6076710858153 13.081015809964727),+91-80-36975677,15,4,LED
SUP-015,OmegaBright Solutions,POINT (77.5594715039294 12.839668737575805),+91-80-86837139,10,2,All
SUP-016,PixelGlow Technologies,POINT (77.63467832899748 13.00958757936296),+91-80-98220100,5,2,LED
SUP-017,QuantumLight Demo Inc,POINT (77.56916079785209 13.013997738978677),+91-80-54952232,12,4,LED
SUP-018,RadiantEdge Systems,POINT (77.54256700772889 12.990110127734367),+91-80-44653919,15,8,All
SUP-019,StellarBeam Technologies,POINT (77.64281514041532 13.006055648782814),+91-80-77477950,10,4,LED
SUP-020,TitanLux Industries Demo,POINT (77.558771189131 13.058672274634073),+91-80-85650711,10,8,All
SUP-021,UltraGlow Solutions,POINT (77.62922935165147 12.8949700865279),+91-80-40949171,8,2,All
SUP-022,VortexLight Systems,POINT (77.5817472064398 12.823514559638271),+91-80-87591281,15,3,LED
SUP-023,WarpSpeed Illumination,POINT (77.68038406198598 13.018541770204546),+91-80-78589173,5,8,All
SUP-024,XenonBright Technologies,POINT (77.51664669226147 13.079850746919067),+91-80-89381838,5,2,Sodium Vapor
SUP-025,ZenithLight Demo Corp,POINT (77.55534709916178 13.019449002785578),+91-80-21481045,15,4,All
