supplier_id,name,location,contact_phone,service_radius_km,avg_response_hours,specialization
SUP-001,Acme Lights & Co.,POINT (77.58156805785154 13.04739431329983),+91-80-48449100,8,3,LED
SUP-002,BrightBeam Systems Demo,POINT (77.60385205106795 12.937063846390021),+91-80-60239021,12,8,All
SUP-003,CloudGlow Innovations,POINT (77.56844098469477 12.996816581935725),+91-80-78877985,10,2,Sodium Vapor
SUP-004,DeltaLux Technologies,POINT (77.61092135295661 13.02923657878834),+91-80-80582353,15,4,LED
SUP-005,EchoLight Solutions Demo,POINT (77.57405513482796 13.012810751246862),+91-80-96727598,10,2,Sodium Vapor
SUP-006,FusionBright Industries,POINT (77.64173995180802 12.938699071573028),+91-80-43641157,10,8,LED
SUP-007,GammaWatt Distributors,POINT (77.54829141968563 12.970419705021468),+91-80-92738425,15,6,LED
SUP-008,HorizonLED Technologies,POINT (77.62273962628485 13.00003656071244),+91-80-33551015,10,6,LED
SUP-009,InfinityLight Demo Corp,POINT (77.60305000288741 12.888244016932605),+91-80-65233295,8,8,All
SUP-010,JetStream Illumination,POINT (77.6146021425453 12.812091710583228),+91-80-88058501,8,5,LED
SUP-011,KryptoLux Systems,POINT (77.55090647515163 12.931601185546558),+91-80-84395047,8,2,All
SUP-012,LumiFlex Technologies Demo,POINT (77.69460380111711 13.085841574689775),+91-80-80819878,15,4,All
SUP-013,MegaBeam Industries,POINT (77.68080661233327 12.888168213439926),+91-80-69068731,5,8,LED
SUP-014,NovaSpark Lighting Co.,POINT (77.68322181001159 13.01959045041514),+91-80-30505549,5,6,LED
SUP-015,OmegaBright Solutions,POINT (77.66093404721045 13.00302979486565),+91-80-38108571,15,2,All
SUP-016,PixelGlow Technologies,POINT (77.52690181461286 13.00159243177846),+91-80-90884452,10,3,All
SUP-017,QuantumLight Demo Inc,POINT (77.64762128288373 13.00044984432524),+91-80-84498910,15,8,LED
SUP-018,RadiantEdge Systems,POINT (77.61543292406846 12.933082020193977),+91-80-84434378,8,8,LED
SUP-019,StellarBeam Technologies,POINT (77.53304071764634 12.826830031684263),+91-80-23377257,12,6,All
SUP-020,TitanLux Industries Demo,POINT (77.56085818244917 13.074309753943501),+91-80-63680231,15,6,LED
SUP-021,UltraGlow Solutions,POINT (77.59607334257791 12.987358942825152),+91-80-58349596,8,3,LED
SUP-022,VortexLight Systems,POINT (77.57312514818156 12.936862535250713),+91-80-59132018,5,5,LED
SUP-023,WarpSpeed Illumination,POINT (77.53701018922978 12.826737052132481),+91-80-85244522,15,2,LED
SUP-024,XenonBright Technologies,POINT (77.67817857499749 12.944385962162425),+91-80-45865800,15,8,LED
SUP-025,ZenithLight Demo Corp,POINT (77.5 12.960236027597041),+91-80-83776327,15,4,Sodium Vapor
